item,crop_id,days_seen,first_seen,last_seen,median_mode_price,peak_month,trough_month,median_qty_t,notes
موز مستورد - عربي,,1,5/5/2018,5/5/2018,60,,,15.61,
بلنسيا مستورد,,1,3/18/2019,3/18/2019,40,,,2.61,
صبار,,1,7/2/2020,7/2/2020,90,,,0.04,
تقاوي بطاطا,,1,7/27/2022,7/27/2022,50,,,5.67,
رامبوتان,,1,11/12/2023,11/12/2023,700,,,0,
مانجوستين,,1,3/31/2024,3/31/2024,1100,,,0.01,
ورق الغار,,1,6/13/2024,6/13/2024,150,,,0.01,
لايم,,1,9/24/2024,9/24/2024,900,,,0.15,
رد كرفت,,1,9/28/2025,9/28/2025,175,,,0.01,
جميد,,1,11/8/2025,11/8/2025,,,,0.03,
ريس بيري,,1,5/16/2026,5/16/2026,800,,,5.19,
